Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,pageranks,componentnumber,strongcompnum
2827337579,,,0,46,46,0,74,74,1,1,1,0,0,0.000375,294,0.000021,0,46
__joseph_______,,,6,0,6,6,0,6,0,0,0,0,0.000013,0,294,0.00005,0,45
2965931889,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,47
297466931,,,0,9,9,0,11,11,1,1,1,0,0,0.000077,294,0.000021,0,56
3303493505,,,0,2,2,0,2,2,1,1,1,0,0,0.000002,294,0.000021,0,57
4045056147,,,0,26,26,0,38,38,1,1,1,0,0,0.000111,294,0.000021,0,73
4794903482,,,0,45,45,0,52,52,1,1,1,0,0,0.000548,294,0.000021,0,103
1407192332,,,0,40,40,0,44,44,1,1,1,0,0,0.000509,294,0.000021,0,130
__sumisu__,,,11,0,11,11,0,11,0,0,0,0,0.000027,0,294,0.00008,0,129
1599434191,,,0,4,4,0,4,4,1,1,1,0,0,0.000029,294,0.000021,0,132
17901962,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,133
2626358164,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,134
268526149,,,0,3,3,0,3,3,1,1,1,0,0,0.000026,294,0.000021,0,137
2821326719,,,0,2,2,0,2,2,1,1,1,0,0,0.000005,294,0.000021,0,139
3434673207,,,0,32,32,0,41,41,1,1,1,0,0,0.000485,294,0.000021,0,154
37960642,,,0,110,110,0,212,212,1,1,1,0,0,0.001047,294,0.000021,0,215
38672293,,,0,9,9,0,9,9,1,1,1,0,0,0.000048,294,0.000021,0,219
438064528,,,0,20,20,0,27,27,1,1,1,0,0,0.000111,294,0.000021,0,222
460019768,,,0,8,8,0,8,8,1,1,1,0,0,0.000054,294,0.000021,0,225
391894265,,,0,2,2,0,2,2,1,1,1,0,0,0,294,0.000021,0,228
__xi__,,,1,0,1,1,0,1,0,0,0,0,0,0,294,0.000029,0,227
911304243654676480,,,0,16,16,0,22,22,1,1,1,0,0,0.017324,17,0.000021,0,244
_12_pm,,,1,0,1,1,0,1,0,0,0,0,0.000201,0,17,0.000021,0,243
1012814924,,,0,6,6,0,8,8,1,1,1,0,0,0.000083,294,0.000021,0,250
_accalmie,,,53,0,53,61,0,61,0,0,0,0,0.00005,0,294,0.000505,0,249
111710556,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,294,0.000021,0,251
1119552912,,,0,2,2,0,3,3,1,1,1,0,0,0.000038,294,0.000021,0,252
124413197,,,0,13,13,0,14,14,1,1,1,0,0,0.000489,294,0.000021,0,258
126092315,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,294,0.000021,0,259
1272409548,,,0,11,11,0,12,12,1,1,1,0,0,0.000324,294,0.000021,0,262
127826427,,,0,2,2,0,2,2,1,1,1,0,0,0.000026,294,0.000021,0,263
131892594,,,0,7,7,0,7,7,1,1,1,0,0,0.000041,294,0.000021,0,264
133396516,,,0,19,19,0,24,24,1,1,1,0,0,0.000558,294,0.000021,0,271
14615214,,,0,20,20,0,21,21,1,1,1,0,0,0.000394,294,0.000021,0,278
147919661,,,0,2,2,0,5,5,1,1,1,0,0,0.000002,294,0.000021,0,279
15232506,,,0,22,22,0,26,26,1,1,1,0,0,0.000395,294,0.000021,0,287
1588428578,,,0,2,2,0,2,2,1,1,1,0,0,0.000009,294,0.000021,0,288
16084074,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,294,0.000021,0,289
16442607,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,294,0.000021,0,290
1647729878,,,0,3,3,0,5,5,1,1,1,0,0,0.000039,294,0.000021,0,291
18152146,,,0,1,1,0,2,2,1,1,1,0,0,0.000001,294,0.000021,0,292
1856766506,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,294,0.000021,0,293
1908754902,,,0,4,4,0,4,4,1,1,1,0,0,0.000263,294,0.000021,0,294
19359880,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,294,0.000021,0,295
19931593,,,0,2,2,0,2,2,1,1,1,0,0,0.000006,294,0.000021,0,297
22760468,,,0,40,40,0,43,43,1,1,1,0,0,0.00051,294,0.000021,0,312
230017261,,,0,3,3,0,3,3,1,1,1,0,0,0.000083,294,0.000021,0,313
2313301800,,,0,9,9,0,12,12,1,1,1,0,0,0.000019,294,0.000021,0,319
237439292,,,0,3,3,0,3,3,1,1,1,0,0,0.000004,294,0.000021,0,322
239518436,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,294,0.000021,0,323
2587186262,,,0,3,3,0,4,4,1,1,1,0,0,0.000004,294,0.000021,0,325
2603008958,,,0,3,3,0,3,3,1,1,1,0,0,0.000019,294,0.000021,0,326
2786731038,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,294,0.000021,0,327
305553063,,,0,2,2,0,2,2,1,1,1,0,0,0.000064,294,0.000021,0,328
35535998,,,0,3,3,0,3,3,1,1,1,0,0,0.000071,294,0.000021,0,329
368365239,,,0,2,2,0,2,2,1,1,1,0,0,0.000001,294,0.000021,0,331
440864529,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,294,0.000021,0,332
4439809523,,,0,2,2,0,6,6,1,1,1,0,0,0.000012,294,0.000021,0,334
467773261,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,294,0.000021,0,335
4704517829,,,0,5,5,0,5,5,1,1,1,0,0,0.000097,294,0.000021,0,338
470633689,,,0,9,9,0,10,10,1,1,1,0,0,0.000266,294,0.000021,0,340
48388630,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,294,0.000021,0,341
496427405,,,0,4,4,0,7,7,1,1,1,0,0,0.000041,294,0.000021,0,342
513049579,,,0,1,1,0,2,2,1,1,1,0,0,0.000001,294,0.000021,0,343
54193392,,,0,3,3,0,4,4,1,1,1,0,0,0.000009,294,0.000021,0,345
558935792,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,294,0.000021,0,346
596875932,,,0,3,3,0,4,4,1,1,1,0,0,0.000048,294,0.000021,0,347
65784321,,,0,6,6,0,6,6,1,1,1,0,0,0.00006,294,0.000021,0,349
708086047310258176,,,0,2,2,0,2,2,1,1,1,0,0,0.000001,294,0.000021,0,351
74685972,,,0,6,6,0,6,6,1,1,1,0,0,0.000029,294,0.000021,0,354
754992048634224640,,,0,16,16,0,18,18,1,1,1,0,0,0.000102,294,0.000021,0,362
77554925,,,0,8,8,0,8,8,1,1,1,0,0,0.000216,294,0.000021,0,364
783066860,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,294,0.000021,0,365
78344217,,,0,2,2,0,2,2,1,1,1,0,0,0.000001,294,0.000021,0,367
815993132835860481,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,294,0.000021,0,368
883768234952060929,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,294,0.000021,0,369
903544353104257024,,,0,1,1,0,1,1,1,1,1,0,0,0.000001,294,0.000021,0,370
183409796,,,0,54,54,0,110,110,1,1,1,0,0,0.059862,17,0.000021,0,416
_badmachine,,,7,0,7,8,0,8,0,0,0,0,0.002484,0,17,0.000049,0,415
1873548374,,,0,69,69,0,115,115,1,1,1,0,0,0.052638,17,0.000021,0,458
2218012226,,,0,2,2,0,2,2,1,1,1,0,0,0.000139,17,0.000021,0,459
2755013013,,,0,13,13,0,16,16,1,1,1,0,0,0.024008,17,0.000021,0,461
305405655,,,0,1,1,0,1,1,1,1,1,0,0,0.000029,17,0.000021,0,462
4122117983,,,0,26,26,0,42,42,1,1,1,0,0,0.034659,17,0.000021,0,471
475901833,,,0,30,30,0,53,53,1,1,1,0,0,0.042231,17,0.000021,0,477
1594389301,,,0,1,1,0,1,1,1,1,1,0,0,0.000003,17,0.000021,0,479
_claclaclac_,,,2,0,2,2,0,2,0,0,0,0,0.000237,0,17,0.000039,0,478
390677950,,,0,35,35,0,46,46,1,1,1,0,0,0.02038,17,0.000021,0,498
2542888166,,,0,3,3,0,3,3,1,1,1,0,0,0.000034,294,0.000021,0,500
_dirk__,,,4,0,4,4,0,4,0,0,0,0,0.000001,0,294,0.000046,0,499
3205234526,,,0,4,4,0,4,4,1,1,1,0,0,0.000043,294,0.000021,0,502
3309317009,,,0,3,3,0,3,3,1,1,1,0,0,0.000042,294,0.000021,0,503
49350867,,,0,2,2,0,2,2,1,1,1,0,0,0.000005,294,0.000021,0,504
129788863,,,0,5,5,0,5,5,1,1,1,0,0,0.00931,17,0.000021,0,506
_ebody,,,12,0,12,13,0,13,0,0,0,0,0.005248,0,17,0.00003,0,505
212003801,,,0,31,31,0,48,48,1,1,1,0,0,0.037428,17,0.000021,0,513
2635598825,,,0,42,42,0,70,70,1,1,1,0,0,0.043161,17,0.000021,0,531
3448073356,,,0,69,69,0,241,241,1,1,1,0,0,0.063332,17,0.000021,0,555
4288968153,,,0,12,12,0,14,14,1,1,1,0,0,0.021593,17,0.000021,0,556
4569352401,,,0,101,101,0,209,209,1,1,1,0,0,0.067728,17,0.000021,0,596
4736703376,,,0,35,35,0,72,72,1,1,1,0,0,0.04306,17,0.000021,0,604
49446718,,,0,32,32,0,47,47,1,1,1,0,0,0.033857,17,0.000021,0,614
770056499271966720,,,0,15,15,0,21,21,1,1,1,0,0,0.02382,17,0.000021,0,617
904416756877447169,,,0,9,9,0,17,17,1,1,1,0,0,0.015861,17,0.000021,0,618
908379433245069312,,,0,21,21,0,27,27,1,1,1,0,0,0.029219,17,0.000021,0,620
974317903,,,0,77,77,0,186,186,1,1,1,0,0,0.062874,17,0.000021,0,635
114220397,,,0,2,2,0,2,2,1,1,1,0,0,0.000001,294,0.000021,0,636
_forumrecht,,,5,0,5,6,0,6,0,0,0,0,0.000006,0,294,0.00006,0,311
2746136297,,,0,4,4,0,5,5,1,1,1,0,0,0.000001,294,0.000021,0,639
390908977,,,0,3,3,0,3,3,1,1,1,0,0,0.000023,294,0.000021,0,641
774328404,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,642
2461962512,,,0,1,1,0,1,1,1,1,1,0,0,0,0,0.000021,1,644
_gcmn,,,1,0,1,1,0,1,0,0,0,0,0,0,0,0.000038,1,643
4483363491,,,0,1,1,0,1,1,1,1,1,0,0,0,1,0.000021,2,646
_go_no,,,1,0,1,1,0,1,0,0,0,0,0,0,1,0.000038,2,645
853688294,,,0,10,10,0,13,13,1,1,1,0,0,0.000063,294,0.000021,0,650
_hugin_,,,1,0,1,1,0,1,0,0,0,0,0.000001,0,294,0.000022,0,649
1245415008,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,651
_jvl,,,12,0,12,12,0,12,0,0,0,0,0.000009,0,294,0.00014,0,277
1452249708,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,652
2345246247,,,0,10,10,0,11,11,1,1,1,0,0,0.000042,294,0.000021,0,656
285768708,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,657
2865373078,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,658
3031112631,,,0,5,5,0,5,5,1,1,1,0,0,0.000053,294,0.000021,0,660
3042491806,,,0,5,5,0,5,5,1,1,1,0,0,0.000058,294,0.000021,0,661
3092139717,,,0,3,3,0,4,4,1,1,1,0,0,0.000001,294,0.000021,0,663
551493237,,,0,2,2,0,2,2,1,1,1,0,0,0.000204,294,0.000021,0,664
798436327,,,0,2,2,0,2,2,1,1,1,0,0,0.000013,294,0.000021,0,665
833628755772002309,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,666
781064636846178304,,,0,19,19,0,20,20,1,1,1,0,0,0.000265,294,0.000021,0,674
_kapts,,,1,0,1,1,0,1,0,0,0,0,0.000003,0,294,0.000022,0,673
1028013247,,,0,11,11,0,14,14,1,1,1,0,0,0.009337,17,0.000021,0,676
_kraftsebastian,,,29,0,29,30,0,30,0,0,0,0,0.003612,0,17,0.000147,0,595
1119922741,,,0,38,38,0,65,65,1,1,1,0,0,0.046889,17,0.000021,0,681
1139634439,,,0,7,7,0,7,7,1,1,1,0,0,0.000264,294,0.000021,0,684
125570941,,,0,3,3,0,3,3,1,1,1,0,0,0.000045,294,0.000021,0,685
134864782,,,0,2,2,0,2,2,1,1,1,0,0,0.000044,294,0.000021,0,687
1440571802,,,0,2,2,0,2,2,1,1,1,0,0,0.000042,17,0.000021,0,689
1689287426,,,0,29,29,0,43,43,1,1,1,0,0,0.029731,17,0.000021,0,695
187879473,,,0,4,4,0,4,4,1,1,1,0,0,0.006377,17,0.000021,0,697
18795876,,,0,1,1,0,1,1,1,1,1,0,0,0.000042,17,0.000021,0,698
1886606958,,,0,9,9,0,9,9,1,1,1,0,0,0.000114,294,0.000021,0,702
19104802,,,0,3,3,0,5,5,1,1,1,0,0,0.007333,17,0.000021,0,703
20763737,,,0,2,2,0,2,2,1,1,1,0,0,0.000097,294,0.000021,0,705
21740902,,,0,9,9,0,11,11,1,1,1,0,0,0.000103,294,0.000021,0,710
2216662162,,,0,7,7,0,7,7,1,1,1,0,0,0.005611,17,0.000021,0,712
2408605103,,,0,43,43,0,55,55,1,1,1,0,0,0.045984,17,0.000021,0,715
246464087,,,0,3,3,0,5,5,1,1,1,0,0,0.007333,17,0.000021,0,716
3311002222,,,0,16,16,0,26,26,1,1,1,0,0,0.026697,17,0.000021,0,717
393902100,,,0,2,2,0,2,2,1,1,1,0,0,0.000055,294,0.000021,0,718
42651849,,,0,1,1,0,1,1,1,1,1,0,0,0.000042,17,0.000021,0,719
55507604,,,0,5,5,0,6,6,1,1,1,0,0,0.00026,294,0.000021,0,721
579742612,,,0,2,2,0,2,2,1,1,1,0,0,0.000042,294,0.000021,0,723
61775433,,,0,6,6,0,6,6,1,1,1,0,0,0.006148,17,0.000021,0,726
713530218300981248,,,0,45,45,0,57,57,1,1,1,0,0,0.000557,294,0.000021,0,739
753640409067319296,,,0,11,11,0,12,12,1,1,1,0,0,0.000329,294,0.000021,0,741
772162036386193412,,,0,7,7,0,8,8,1,1,1,0,0,0.011284,17,0.000021,0,743
832743731061157888,,,0,30,30,0,66,66,1,1,1,0,0,0.037935,17,0.000021,0,747
860084920814850048,,,0,3,3,0,3,3,1,1,1,0,0,0.000051,17,0.000021,0,750
90524645,,,0,7,7,0,12,12,1,1,1,0,0,0.00007,294,0.000021,0,753
107241204,,,0,33,33,0,59,59,1,1,1,0,0,0.042114,17,0.000021,0,755
_macmike,,,65,0,65,78,0,78,0,0,0,0,0.033466,0,17,0.000076,0,530
1334295828,,,0,59,59,0,127,127,1,1,1,0,0,0.062637,17,0.000021,0,760
1490376331,,,0,31,31,0,75,75,1,1,1,0,0,0.048899,17,0.000021,0,761
1534331402,,,0,95,95,0,211,211,1,1,1,0,0,0.071304,17,0.000021,0,777
1964353897,,,0,21,21,0,25,25,1,1,1,0,0,0.016017,17,0.000021,0,782
21422783,,,0,9,9,0,20,20,1,1,1,0,0,0.021007,17,0.000021,0,783
222115375,,,0,20,20,0,36,36,1,1,1,0,0,0.020827,17,0.000021,0,792
2270148584,,,0,117,117,0,340,340,1,1,1,0,0,0.075475,17,0.000021,0,821
2310612338,,,0,9,9,0,9,9,1,1,1,0,0,0.015318,17,0.000021,0,822
244275521,,,0,18,18,0,37,37,1,1,1,0,0,0.03146,17,0.000021,0,823
2463582956,,,0,53,53,0,174,174,1,1,1,0,0,0.051629,17,0.000021,0,828
2502606786,,,0,69,69,0,236,236,1,1,1,0,0,0.066637,17,0.000021,0,834
259638173,,,0,141,141,0,432,432,1,1,1,0,0,0.073739,17,0.000021,0,865
2729712321,,,0,25,25,0,42,42,1,1,1,0,0,0.041022,17,0.000021,0,866
2817931146,,,0,131,131,0,328,328,1,1,1,0,0,0.080136,17,0.000021,0,890
2843523178,,,0,23,23,0,26,26,1,1,1,0,0,0.020065,17,0.000021,0,898
2847348915,,,0,5,5,0,6,6,1,1,1,0,0,0.003256,17,0.000021,0,900
2999837297,,,0,104,104,0,292,292,1,1,1,0,0,0.078892,17,0.000021,0,912
3018934037,,,0,3,3,0,3,3,1,1,1,0,0,0.000446,17,0.000021,0,914
3023857245,,,0,27,27,0,43,43,1,1,1,0,0,0.043129,17,0.000021,0,915
3457564343,,,0,43,43,0,81,81,1,1,1,0,0,0.052684,17,0.000021,0,917
3653666482,,,0,47,47,0,93,93,1,1,1,0,0,0.052303,17,0.000021,0,918
40026089,,,0,7,7,0,7,7,1,1,1,0,0,0.011289,17,0.000021,0,919
4149878551,,,0,34,34,0,52,52,1,1,1,0,0,0.041327,17,0.000021,0,920
428445865,,,0,52,52,0,140,140,1,1,1,0,0,0.058273,17,0.000021,0,923
4621226295,,,0,61,61,0,189,189,1,1,1,0,0,0.066965,17,0.000021,0,926
4830435670,,,0,71,71,0,187,187,1,1,1,0,0,0.069919,17,0.000021,0,928
533330971,,,0,81,81,0,221,221,1,1,1,0,0,0.069976,17,0.000021,0,933
550804211,,,0,40,40,0,62,62,1,1,1,0,0,0.05384,17,0.000021,0,935
621384410,,,0,36,36,0,54,54,1,1,1,0,0,0.045319,17,0.000021,0,937
700611160,,,0,21,21,0,36,36,1,1,1,0,0,0.027093,17,0.000021,0,941
712412967397138433,,,0,12,12,0,13,13,1,1,1,0,0,0.020182,17,0.000021,0,942
713492087346429952,,,0,84,84,0,196,196,1,1,1,0,0,0.064292,17,0.000021,0,953
713801690483400705,,,0,30,30,0,81,81,1,1,1,0,0,0.039848,17,0.000021,0,954
718527383477882880,,,0,34,34,0,59,59,1,1,1,0,0,0.038737,17,0.000021,0,957
72577362,,,0,24,24,0,40,40,1,1,1,0,0,0.033834,17,0.000021,0,960
731221873791541248,,,0,32,32,0,62,62,1,1,1,0,0,0.037616,17,0.000021,0,966
736796494884442112,,,0,28,28,0,108,108,1,1,1,0,0,0.043784,17,0.000021,0,967
748257922422026242,,,0,75,75,0,191,191,1,1,1,0,0,0.062861,17,0.000021,0,973
756881814862569472,,,0,1,1,0,1,1,1,1,1,0,0,0.000389,17,0.000021,0,974
799471710051438592,,,0,72,72,0,134,134,1,1,1,0,0,0.058799,17,0.000021,0,981
809895794,,,0,16,16,0,28,28,1,1,1,0,0,0.027826,17,0.000021,0,982
816717166900809729,,,0,128,128,0,495,495,1,1,1,0,0,0.082539,17,0.000021,0,991
824760149269168130,,,0,6,6,0,6,6,1,1,1,0,0,0.006992,17,0.000021,0,992
825730639194361856,,,0,81,81,0,156,156,1,1,1,0,0,0.062608,17,0.000021,0,996
830708129448984576,,,0,38,38,0,87,87,1,1,1,0,0,0.050763,17,0.000021,0,998
849060114388705280,,,0,44,44,0,142,142,1,1,1,0,0,0.043662,17,0.000021,0,999
863708302584184832,,,0,59,59,0,115,115,1,1,1,0,0,0.05644,17,0.000021,0,1006
872721734964830208,,,0,20,20,0,44,44,1,1,1,0,0,0.036221,17,0.000021,0,1007
874718583330394113,,,0,9,9,0,13,13,1,1,1,0,0,0.016142,17,0.000021,0,1009
882531736613158912,,,0,8,8,0,14,14,1,1,1,0,0,0.016692,17,0.000021,0,1010
882700585614659584,,,0,13,13,0,16,16,1,1,1,0,0,0.018339,17,0.000021,0,1011
884887711374508033,,,0,111,111,0,290,290,1,1,1,0,0,0.077197,17,0.000021,0,1021
892996270071140352,,,0,47,47,0,75,75,1,1,1,0,0,0.048004,17,0.000021,0,1024
898254676558307331,,,0,15,15,0,22,22,1,1,1,0,0,0.018998,17,0.000021,0,1025
898544468118433796,,,0,11,11,0,18,18,1,1,1,0,0,0.017037,17,0.000021,0,1027
899212735770218497,,,0,103,103,0,348,348,1,1,1,0,0,0.077116,17,0.000021,0,1032
904044880195936256,,,0,59,59,0,142,142,1,1,1,0,0,0.064704,17,0.000021,0,1034
907423082465423360,,,0,71,71,0,160,160,1,1,1,0,0,0.067918,17,0.000021,0,1039
911162840974737409,,,0,16,16,0,16,16,1,1,1,0,0,0.015959,17,0.000021,0,1040
1262037487,,,0,2,2,0,2,2,1,1,1,0,0,0,294,0.000021,0,1043
_mettigel_,,,7,0,7,7,0,7,0,0,0,0,0.000015,0,294,0.00006,0,1042
3699491056,,,0,3,3,0,3,3,1,1,1,0,0,0.000108,294,0.000021,0,1044
3776000483,,,0,27,27,0,32,32,1,1,1,0,0,0.000446,294,0.000021,0,1050
4775940875,,,0,5,5,0,5,5,1,1,1,0,0,0.000044,294,0.000021,0,1052
477790261,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,1053
58844422,,,0,8,8,0,9,9,1,1,1,0,0,0.000124,294,0.000021,0,1056
861222783187070976,,,0,19,19,0,20,20,1,1,1,0,0,0.000553,294,0.000021,0,1060
14754909,,,0,1,1,0,1,1,1,1,1,0,0,0,2,0.000021,3,1062
_misc987,,,1,0,1,1,0,1,0,0,0,0,0,0,2,0.000038,3,1061
_onlinefirst,,,7,0,7,8,0,8,0,0,0,0,0.00001,0,294,0.000054,0,701
2279530027,,,0,7,7,0,8,8,1,1,1,0,0,0.000099,294,0.000021,0,1063
2693045762,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,1064
4568970738,,,0,28,28,0,39,39,1,1,1,0,0,0.000471,294,0.000021,0,1074
526335831,,,0,4,4,0,4,4,1,1,1,0,0,0.000073,294,0.000021,0,1077
587469331,,,0,5,5,0,5,5,1,1,1,0,0,0.000026,294,0.000021,0,1078
1275695197,,,0,31,31,0,69,69,1,1,1,0,0,0.036272,17,0.000021,0,1079
_piroska,,,9,0,9,9,0,9,0,0,0,0,0.003795,0,17,0.000028,0,833
2677355449,,,0,8,8,0,8,8,1,1,1,0,0,0.00219,17,0.000021,0,1083
2964761297,,,0,22,22,0,44,44,1,1,1,0,0,0.037668,17,0.000021,0,1084
4728055179,,,0,82,82,0,137,137,1,1,1,0,0,0.062008,17,0.000021,0,1099
4925431415,,,0,7,7,0,7,7,1,1,1,0,0,0.004263,17,0.000021,0,1101
731561651917496321,,,0,28,28,0,41,41,1,1,1,0,0,0.028884,17,0.000021,0,1105
836338243364876290,,,0,101,101,0,311,311,1,1,1,0,0,0.075162,17,0.000021,0,1111
920308807,,,0,12,12,0,13,13,1,1,1,0,0,0.013263,17,0.000021,0,1114
21703164,,,0,66,66,0,120,120,1,1,1,0,0,0.000683,294,0.000021,0,1139
_razupaltuff,,,2,0,2,2,0,2,0,0,0,0,0.000008,0,294,0.000022,0,1138
769350401367957508,,,0,6,6,0,13,13,1,1,1,0,0,0.000025,294,0.000021,0,1141
19550301,,,0,4,4,0,4,4,1,1,1,0,0,0.00004,294,0.000021,0,1143
_robnick_,,,10,0,10,10,0,10,0,0,0,0,0.000011,0,294,0.00008,0,363
2215279212,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,1144
2870985927,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,1145
29424309,,,0,3,3,0,3,3,1,1,1,0,0,0.000059,294,0.000021,0,1146
4793289219,,,0,5,5,0,5,5,1,1,1,0,0,0.000008,294,0.000021,0,1147
771636168,,,0,9,9,0,9,9,1,1,1,0,0,0.00008,294,0.000021,0,1151
772005621633847296,,,0,7,7,0,7,7,1,1,1,0,0,0.000206,294,0.000021,0,1152
796087569188581380,,,0,13,13,0,14,14,1,1,1,0,0,0.000179,294,0.000021,0,1154
817074155564765184,,,0,7,7,0,8,8,1,1,1,0,0,0.0002,294,0.000021,0,1155
1201495387,,,0,6,6,0,6,6,1,1,1,0,0,0.000007,294,0.000021,0,1159
_rony,,,6,0,6,6,0,6,0,0,0,0,0.000007,0,294,0.000069,0,1158
12377102,,,0,2,2,0,3,3,1,1,1,0,0,0.000038,294,0.000021,0,1160
125016174,,,0,5,5,0,5,5,1,1,1,0,0,0.000042,294,0.000021,0,1161
224279481,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,1162
464981486,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,1163
495880776,,,0,14,14,0,16,16,1,1,1,0,0,0.000505,294,0.000021,0,1167
28804762,,,0,23,23,0,33,33,1,1,1,0,0,0.000315,294,0.000021,0,1172
_rumpumpel,,,2,0,2,2,0,2,0,0,0,0,0.000004,0,294,0.000039,0,1171
354866442,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,1173
105933827,,,0,4,4,0,4,4,1,1,1,0,0,0.000185,294,0.000021,0,1175
_schwarzekatze,,,32,0,32,32,0,32,0,0,0,0,0.000043,0,294,0.000281,0,261
109635151,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,1176
13264792,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,1177
1398469664,,,0,2,2,0,2,2,1,1,1,0,0,0.000011,294,0.000021,0,1178
1410789368,,,0,32,32,0,37,37,1,1,1,0,0,0.000657,294,0.000021,0,1191
1521775038,,,0,2,2,0,2,2,1,1,1,0,0,0.000004,294,0.000021,0,1192
18168510,,,0,10,10,0,14,14,1,1,1,0,0,0.000118,294,0.000021,0,1196
20036281,,,0,16,16,0,16,16,1,1,1,0,0,0.000287,294,0.000021,0,1200
2301660826,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,1201
2301925466,,,0,22,22,0,24,24,1,1,1,0,0,0.00034,294,0.000021,0,1206
232223137,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,1207
2497181323,,,0,16,16,0,19,19,1,1,1,0,0,0.00027,294,0.000021,0,1211
263647843,,,0,12,12,0,15,15,1,1,1,0,0,0.000287,294,0.000021,0,1217
2791814972,,,0,7,7,0,8,8,1,1,1,0,0,0.000053,294,0.000021,0,1219
2893476352,,,0,2,2,0,2,2,1,1,1,0,0,0.000007,294,0.000021,0,1220
2956508669,,,0,20,20,0,25,25,1,1,1,0,0,0.000335,294,0.000021,0,1226
3095635223,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,1227
36322255,,,0,2,2,0,2,2,1,1,1,0,0,0.000001,294,0.000021,0,1228
386114003,,,0,2,2,0,2,2,1,1,1,0,0,0.000002,294,0.000021,0,1229
43325643,,,0,4,4,0,4,4,1,1,1,0,0,0.000004,294,0.000021,0,1231
4821160072,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,1232
487381675,,,0,11,11,0,14,14,1,1,1,0,0,0.000074,294,0.000021,0,1234
633920778,,,0,3,3,0,3,3,1,1,1,0,0,0.000012,294,0.000021,0,1235
70979847,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,1236
71282618,,,0,2,2,0,2,2,1,1,1,0,0,0.000002,294,0.000021,0,1238
74475528,,,0,2,2,0,2,2,1,1,1,0,0,0.000056,294,0.000021,0,1239
833190732,,,0,2,2,0,2,2,1,1,1,0,0,0.000069,294,0.000021,0,1240
851015738,,,0,3,3,0,3,3,1,1,1,0,0,0.000003,294,0.000021,0,1242
908450864,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,1243
90857330,,,0,1,1,0,1,1,1,1,1,0,0,0,294,0.000021,0,1244
98460445,,,0,1,1,0,1,1,1,1,1,0,0,0,3,0.000021,4,1246
_sub_rosa_,,,1,0,1,1,0,1,0,0,0,0,0,0,3,0.000038,4,1245
2838732142,,,0,3,3,0,3,3,1,1,1,0,0,0.000037,294,0.000021,0,1249
"#berlin",,,1,0,1,1,0,1,0,0,0,0,0,0,294,0.000027,0,1248
14425402,,,0,1,1,0,1,1,1,1,1,0,0,0,4,0.000021,5,1251
0000ak00,,,1,0,1,1,0,1,0,0,0,0,0,0,4,0.000038,5,1250
0930uhr,,,6,0,6,8,0,8,0,0,0,0,0.00288,0,17,0.000027,0,864
2613263442,,,0,21,21,0,27,27,1,1,1,0,0,0.024356,17,0.000021,0,1252
